Sr. No.,Filename,Struct/Dsect,Name
925,gna00.mac,GNA00,GNA4_1120_ADD
926,rptwk.mac,RPTWK,RPTWK_SAVER13
927,l5q5q.mac,L5Q5Q,L5QCOT
928,lwrm7.mac,LWRM7,LWRM7_SW035
929,ltrtr.mac,LTRTR,LTRPRT
930,lwrch.mac,LWRCH,LWRCH_CLRP5MEC
931,lwrcw.mac,LWRCW,LWRCW_FRLA5
932,ge8e8.mac,GE8E8,GE8_07OFR_TYP
933,da54.asm,XMLTMP,ECMTIN4
934,to72.asm,STATMSG1,STCON10
935,l0z0z.mac,L0Z0Z,L0ZNBR
936,lk6k6.mac,LK6K6,LK6DDS
937,lx9x9.mac,LX9X9,X9CPI9
938,l8v8v.mac,L8V8V,L8VCTL
939,hq56.asm,L5ZOLD,LOOD19
940,clpya.mac,CLPYA,CLPYA_VER
941,acewrk.mac,ACEWRK,ACE06HRS
942,yk00.asm,YK00WRK,YK00VNDCDS
943,ic1c1.mac,IC1C1,IC1_RLAAA2
944,wsusu.mac,WSUSU,WSU_U_MXEXP
945,wf10.asm,WF10WORK,WF10SZIP
946,lm0m0.mac,LM0M0,LM0CS8
947,l5l5l.mac,L5L5L,L5LBCH
948,l5m5m.mac,L5M5M,L5MS10
949,l5g5g.mac,L5G5G,L5GAM2
950,ji29.asm,WKLMAIN,MAP7L
951,li8i8.mac,LI8I8,LI8T1CT
952,lqiqi.mac,LQIQI,LQIBVI
953,lgugu.mac,LGUGU,LGUSOE
954,lrhrh.mac,LRHRH,LRHDED
955,l6y6y.mac,L6Y6Y,L6YSIN
956,ln6n6.mac,LN6N6,LN6GF4
957,cc86.asm,CC86BLK,CC86CNT
958,l4j4j.mac,L4J4J,L4JSE6
959,l0c0c.mac,L0C0C,L0CT3L
960,tm8m8.mac,TM8M8,TM8SW139
961,l7a7a.mac,L7A7A,L7ARDT
962,vzusat.mac,VZUSAT,VZUSAT_LIST_COUNT_STAT
963,wy00.asm,OUTPT_BLK,OUTPT_WDSC
964,l5w5w.mac,L5W5W,L5WACT
965,l3i3i.mac,L3I3I,L3ICD1
966,lr8p1.mac,LR8P1,LR8PACDH
967,hh75.asm,OUTREC,OUTGM0A
968,ed11.asm,ED02AREA,TCCTHBIN
969,l9j9j.mac,L9J9J,L9JLSQ
970,lw6w6.mac,LW6W6,LW6SLI
971,swbwb.mac,SWBWB,SWBSTOD9
972,ld9d9.mac,LD9D9,LD9S3S
973,endwkn.mac,ENDWKN,ENWK_PHN
974,pvawk.mac,PVAWK,PVA_PRM_TXNID3
975,l3e3e.mac,L3E3E,L3EACTNUM
976,lz5z5.mac,LZ5Z5,LZ5REC
977,gp1p1.mac,GP1P1,GP1_RDEC
978,am09.asm,AM9WRK,AM09BAS2
979,lz00z0.mac,LZ00Z0,LZ00CEM
980,wfdss.mac,WFDSS,WFD_IND2
981,l9e9e.mac,L9E9E,L9ERTL
982,l9t9t.mac,L9T9T,L9TMSC
983,icnwk.mac,ICNWK,ICN_REG16
984,lt6t6.mac,LT6T6,LT6PAF9
985,lwrxa.mac,LWRXA,LWRXA_0KRSP
986,ls9s9.mac,LS9S9,LS9RRN
987,lf9f9.mac,LF9F9,LF9PCN
988,yk4k4.mac,YK4K4,YK4_STXN
989,lo7o7.mac,LO7O7,LO7UEC9
990,lt4t4.mac,LT4T4,LT4WKTOD
991,cm80.asm,WORKMSG,CUSACT
992,fi0i0.mac,FI0I0,FI00_SECTRY
993,lsdsd.mac,LSDSD,LSDFRF
994,l1t1t.mac,L1T1T,L1TDSUP
995,ll7l7.mac,LL7L7,LL7TRN
996,cn16.asm,WORKAREA2,CN16_DTAR
997,lb0b0.mac,LB0B0,LB0TTYC
998,bt71.asm,WORKREC,ZCOTSRF
999,fi6i6.mac,FI6I6,FI6_SEADD2
1000,av0av.mac,AV0AV,AV0IRI
